,2020_1,2021_1,2022_1,2023_1,2024_1,2025_1,2026_1,2027_1,2028_1,2029_1,2020_2,2021_2,2022_2,2023_2,2024_2,2025_2,2026_2,2027_2,2028_2,2029_2,2020_3,2021_3,2022_3,2023_3,2024_3,2025_3,2026_3,2027_3,2028_3,2029_3,2020_4,2021_4,2022_4,2023_4,2024_4,2025_4,2026_4,2027_4,2028_4,2029_4,2020_5,2021_5,2022_5,2023_5,2024_5,2025_5,2026_5,2027_5,2028_5,2029_5
Serum+TGF-β1_Ser,0.51463963963964,0.507669831994156,0.528853177501826,0.54542042042042,0.58290723155588,0.525200876552228,0.52027027027027,0.535792549306063,0.519357195032871,0.540540540540541,0.516070124178232,0.537037037037037,0.509861212563915,0.504382761139518,0.487237237237237,0.515704894083272,0.503287070854638,0.52081811541271,0.509009009009009,0.528853177501826,0.546018991964938,0.495982468955442,0.490990990990991,0.527027027027027,0.543827611395179,0.538288288288288,0.565741417092768,0.500375375375375,0.504747991234478,0.526296566837107,0.491741741741742,0.503652300949598,0.532657657657658,0.544192841490139,0.539414414414414,0.526661796932067,0.475529583637692,0.494521548575603,0.506939371804237,0.505255255255255,0.518626734842951,0.498173849525201,0.52008765522279,0.562687687687688,0.523374726077429,0.52027027027027,0.51951951951952,0.518393393393393,0.509009009009009,0.517896274653031
Serum+TIMP-1_Ser,0.574324324324324,0.514243973703433,0.487216946676406,0.566066066066066,0.54127100073046,0.489408327246165,0.555555555555556,0.45799853907962,0.506208911614317,0.536786786786787,0.56172388604821,0.472993827160494,0.567567567567568,0.493060628195763,0.53978978978979,0.514243973703433,0.512052593133674,0.50036523009496,0.464714714714715,0.528122717311907,0.491599707815924,0.533235938641344,0.48948948948949,0.512783053323594,0.535427319211103,0.477477477477477,0.517165814463112,0.566816816816817,0.490869247626004,0.459459459459459,0.530780780780781,0.555880204528853,0.501501501501502,0.504747991234478,0.457207207207207,0.495982468955442,0.522279035792549,0.528853177501826,0.555149744338934,0.563813813813814,0.566106647187728,0.517896274653031,0.528122717311907,0.464714714714715,0.532505478451424,0.562312312312312,0.566816816816817,0.523273273273273,0.492492492492492,0.483564645726808
Serum+TRANCE_Ser,0.611861861861862,0.600438276113952,0.631848064280497,0.614114114114114,0.559532505478451,0.607012417823229,0.628378378378378,0.653031409788167,0.590942293644996,0.546546546546547,0.606281957633309,0.650462962962963,0.577794010226443,0.626734842951059,0.587837837837838,0.564645726807889,0.560993425858291,0.623082542001461,0.593843843843844,0.658875091307524,0.617969320672023,0.618699780861943,0.603603603603604,0.566837107377648,0.560993425858291,0.614864864864865,0.607742878013148,0.582582582582583,0.615777940102264,0.664718772826881,0.590840840840841,0.560262965668371,0.600600600600601,0.567567567567568,0.648648648648649,0.580715850986121,0.627465303140979,0.577794010226443,0.611395178962747,0.572822822822823,0.569758948137327,0.573411249086925,0.587289992695398,0.625375375375375,0.639883126369613,0.632882882882883,0.575075075075075,0.563063063063063,0.584084084084084,0.553688823959094
Serum+VE-cad_Ser,0.521771771771772,0.558071585098612,0.531775018261505,0.540540540540541,0.573411249086925,0.498173849525201,0.53003003003003,0.476260043827611,0.52154857560263,0.617117117117117,0.522279035792549,0.488425925925926,0.509130752373996,0.505478451424397,0.500750750750751,0.548575602629657,0.550766983199416,0.560262965668371,0.553303303303303,0.514974433893353,0.509861212563915,0.491599707815924,0.577327327327327,0.512052593133674,0.515704894083272,0.54954954954955,0.52154857560263,0.528528528528528,0.554419284149014,0.531044558071585,0.507507507507508,0.507669831994156,0.508258258258258,0.598246895544193,0.471471471471471,0.518626734842951,0.485756026296567,0.555149744338934,0.52008765522279,0.483483483483484,0.556610664718773,0.525200876552228,0.513513513513514,0.498498498498499,0.512783053323594,0.545045045045045,0.475975975975976,0.504504504504504,0.532282282282282,0.492330168005844
Serum+VEGF_Ser,0.559684684684685,0.512052593133674,0.544923301680058,0.558933933933934,0.522279035792549,0.553323593864134,0.481231231231231,0.56355003652301,0.565376186997809,0.513513513513513,0.533966398831264,0.576388888888889,0.534696859021183,0.467859751643535,0.519519519519519,0.528853177501826,0.486486486486487,0.570854638422206,0.526651651651652,0.555149744338934,0.454711468224982,0.474068663257852,0.482357357357357,0.506939371804237,0.462746530314098,0.469594594594595,0.518261504747991,0.481606606606607,0.491599707815924,0.540540540540541,0.458333333333333,0.508035062089116,0.464339339339339,0.550401753104456,0.569069069069069,0.548575602629657,0.56318480642805,0.493060628195763,0.444485025566107,0.497372372372372,0.493791088385683,0.547114682249817,0.513513513513513,0.589714714714715,0.56355003652301,0.481981981981982,0.457582582582583,0.531156156156156,0.479354354354354,0.464572680788897
Saliva+ANG_Sal,0.577327327327327,0.536888239590942,0.495982468955442,0.561561561561562,0.577063550036523,0.508400292184076,0.552552552552553,0.556610664718773,0.554419284149014,0.527027027027027,0.539810080350621,0.549382716049383,0.546384222059898,0.563915266617969,0.488738738738739,0.525931336742148,0.56172388604821,0.523739956172389,0.551051051051051,0.501826150474799,0.547114682249817,0.539079620160701,0.57957957957958,0.523739956172389,0.582176771365961,0.567567567567568,0.529583637691746,0.59984984984985,0.550766983199416,0.616508400292184,0.535285285285285,0.590211833455077,0.565315315315315,0.514243973703433,0.559309309309309,0.58290723155588,0.571219868517166,0.531044558071585,0.510591672753835,0.542042042042042,0.531044558071585,0.523739956172389,0.536157779401023,0.598348348348348,0.508400292184076,0.548048048048048,0.521771771771772,0.524024024024024,0.593093093093093,0.547845142439737
Saliva+BDNF_Sal,0.500375375375375,0.577428780131483,0.52154857560263,0.547672672672673,0.573776479181885,0.556245434623813,0.505255255255255,0.544923301680058,0.501460920379839,0.501501501501502,0.561358655953251,0.506558641975309,0.565376186997809,0.573046018991965,0.543918918918919,0.47954711468225,0.547845142439737,0.512052593133674,0.524024024024024,0.552593133674215,0.546749452154858,0.536888239590942,0.473723723723724,0.5409057706355,0.529948867786706,0.512012012012012,0.554784514243974,0.489114114114114,0.567202337472608,0.611029948867787,0.557432432432432,0.550766983199416,0.568318318318318,0.547845142439737,0.535660660660661,0.556245434623813,0.553323593864134,0.560628195763331,0.574872169466764,0.506756756756757,0.54200146092038,0.546749452154858,0.522279035792549,0.492492492492492,0.482834185536888,0.580705705705706,0.531906906906907,0.612987987987988,0.459459459459459,0.549306062819576
Saliva+CXCL16_Sal,0.543918918918919,0.504747991234478,0.512417823228634,0.514264264264264,0.533966398831264,0.54127100073046,0.528153153153153,0.555880204528853,0.529218407596786,0.490615615615616,0.529583637691746,0.483796296296296,0.510226442658875,0.554054054054054,0.495870870870871,0.483199415631848,0.504017531044558,0.532870708546384,0.493993993993994,0.519722425127831,0.522279035792549,0.504382761139518,0.534159159159159,0.491599707815924,0.549671292914536,0.487237237237237,0.504017531044558,0.551801801801802,0.52008765522279,0.585098612125639,0.560435435435435,0.539079620160701,0.515015015015015,0.56172388604821,0.522522522522523,0.543827611395179,0.514974433893353,0.527027027027027,0.485756026296567,0.60472972972973,0.577063550036523,0.490504017531045,0.470051132213294,0.558558558558559,0.529948867786706,0.513513513513513,0.507132132132132,0.512387387387387,0.564189189189189,0.555514974433893
Saliva+ENA-78_Sal,0.522522522522523,0.47991234477721,0.495252008765522,0.568318318318318,0.52008765522279,0.519357195032871,0.515765765765766,0.527392257121987,0.524470416362308,0.581081081081081,0.485025566106647,0.54320987654321,0.504747991234478,0.536157779401023,0.568318318318318,0.549306062819576,0.550036523009496,0.564645726807889,0.527027027027027,0.539810080350621,0.552227903579255,0.453615777940102,0.58033033033033,0.492330168005844,0.557341124908692,0.573573573573574,0.566837107377648,0.536036036036036,0.523009495982469,0.517896274653031,0.518768768768769,0.566106647187728,0.563813813813814,0.523009495982469,0.560810810810811,0.507669831994156,0.466033601168736,0.533235938641344,0.543462381300219,0.503003003003003,0.574141709276844,0.534696859021183,0.528122717311907,0.544294294294294,0.523739956172389,0.530780780780781,0.509009009009009,0.481981981981982,0.607357357357357,0.539079620160701
Saliva+MMP7_Sal,0.512012012012012,0.512052593133674,0.52154857560263,0.546546546546547,0.52008765522279,0.547845142439737,0.56006006006006,0.545653761869978,0.52081811541271,0.537537537537538,0.52081811541271,0.469907407407407,0.510591672753835,0.525931336742148,0.504504504504504,0.512052593133674,0.501826150474799,0.517896274653031,0.53003003003003,0.485025566106647,0.498904309715121,0.510591672753835,0.546546546546547,0.487216946676406,0.572680788897005,0.542792792792793,0.463842220598977,0.504504504504505,0.523739956172389,0.5427319211103,0.503753753753754,0.556610664718773,0.477477477477477,0.593864134404675,0.5,0.555880204528853,0.512783053323594,0.543462381300219,0.525200876552228,0.59009009009009,0.531775018261505,0.531775018261505,0.543462381300219,0.567567567567568,0.558802045288532,0.498498498498498,0.497747747747748,0.515765765765766,0.539039039039039,0.56172388604821
